
Exhibit 4. Exports, Imports, and Trade Balance of Goods by Country and Area, Not Seasonally Adjusted: 2018

(X) Not applicable. (-) Represents zero or less than one-half unit of measurement shown.

                                                                                                    111111111111111111111111
         1111111111222222222233333333334444444444555555555566666666667777777777888888888999999999990000000000111111111122222
1234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234

                                                                                      Exports
                                            Balance                                 Domestic & Foreign,
                                          (Customs imports)                         F.A.S. basis   
Country                                   February      Year-to-Date  Rank          February      Year-to-Date  Rank
Macedonia                                        -23.3         -51.5            62           4.1           7.8           163
Madagascar                                       -80.3        -171.7            47           3.0           7.8           164
Malawi                                            -1.9          -4.4            87           1.1           2.2           190
Malaysia                                      -2,123.7      -4,060.7             9       1,036.1       2,043.1            22
Maldives                                           0.9           1.3           140           2.8           6.4           169
Mali                                               3.4           6.8           159           3.9           7.6           166
Malta                                             -5.1          -6.5            86           7.6          17.8           138
Marshall Islands                                  30.1          55.4           187          31.2          57.5           106
Martinique                                        17.1          24.1           174          17.2          24.5           133
Mauritania                                        24.5          29.2           178          24.9          29.9           125
Mauritius                                        -15.0         -36.2            69           3.5           6.4           168
Mayotte                                           -0.1          -0.1           112           (-)           (-)           219
Mexico**                                      -6,063.5     -10,199.0             4      20,224.5      42,027.4             2
Micronesia                                         2.8           5.6           157           2.9           5.8           171
Moldova                                           -2.1          -7.2            85           0.9           2.1           191
Monaco                                             9.2           8.6           161          11.5          13.2           147
Mongolia                                           6.0          10.6           166           7.0          12.2           150
Montenegro                                         0.2           0.5           131           0.5           1.1           195
Montserrat                                         2.0           2.3           147           2.1           2.9           183
Morocco*                                          20.6          89.1           197         148.6         365.4            58
Mozambique                                         5.5           0.3           129          12.4          19.7           135

Namibia                                            7.5          39.1           182          13.5          51.1           111
Nauru                                              (-)          -0.2           109           (-)           0.1           217
Nepal                                             -5.1         -10.3            83           3.0           5.6           172
Netherlands                                    2,283.8       4,334.2           232       3,853.8       7,530.4             8
New Caledonia                                     -0.6          -4.2            88           4.2           8.2           162
New Zealand                                      -83.8        -171.5            48         251.8         514.7            49
Nicaragua**                                     -151.7        -271.9            41         152.6         289.1            63
Niger                                              4.0           5.4           155           4.5           6.7           167
Nigeria                                         -488.9      -1,087.2            20         163.9         349.4            60
Niue                                              -0.1          -0.1           115           (-)           (-)           (X)
Norfolk Island                                    -0.1          -0.1           116           (-)           (-)           225
Norway                                           101.5         198.0           215         509.2       1,033.1            36

Oman*                                             42.4         248.0           217         138.0         429.8            55

Pakistan                                          19.9         -52.9            59         289.9         533.3            48
Palau                                              1.5           2.8           151           1.6           2.9           184
Panama*                                          445.3         874.3           225         476.4         936.1            39
Papua New Guinea                                   1.4           1.2           138           5.8          11.7           152
Paraguay                                         226.5         436.9           220         233.9         453.0            52
Peru*                                             68.0        -115.0            52         715.2       1,413.5            30
Philippines                                     -289.3        -621.4            31         641.0       1,302.6            32
Pitcairn Islands                                   (-)           (-)           121           (-)           (-)           (X)
Poland                                          -211.9        -527.6            33         369.1         678.9            45
Portugal                                        -173.7        -348.9            37          77.3         203.9            71

Qatar                                            115.3         173.3           212         242.3         442.8            54

Reunion                                            0.8          -0.7           103           2.5           2.8           185
Romania                                         -131.7        -254.3            42          62.7         145.3            75
Russia                                          -692.8      -1,813.6            18         566.5       1,000.9            37
Rwanda                                            -4.2          -2.9            91           1.8          10.5           155

Samoa                                              1.6           4.4           154           2.1           5.2           174
San Marino                                        -0.8          -1.7            96           (-)           0.1           214
Sao Tome and Principe                              (-)           (-)           124           0.1           0.1           215
